[2026-04-14 22:48:52 -0300] [26484] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:53 -0300] [26484] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:53 -0300] [26484] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:48:54 -0300] [26484] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:48:59 -0300] [26507] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:48:59 -0300] [26507] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:48:59 -0300] [26507] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:00 -0300] [26507] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:00 -0300] [26507] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:01 -0300] [26507] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:01 -0300] [26507] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:02 -0300] [26507] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:02 -0300] [26507] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:03 -0300] [26507] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:03 -0300] [26507] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:04 -0300] [26507] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:49:09 -0300] [26527] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:49:09 -0300] [26527] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:09 -0300] [26527] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:10 -0300] [26527] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:10 -0300] [26527] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:11 -0300] [26527] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:11 -0300] [26527] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:12 -0300] [26527] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:12 -0300] [26527] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:13 -0300] [26527] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:13 -0300] [26527] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
